244.5,10,57.8,73.7,24.5,5070,8.3,415,550,10100,830,0.768,13.3
244.5,12.5,71.5,91.1,19.6,6150,8.21,503,673,12300,1010,0.768,10.7
244.5,14.2,80.6,103,17.2,6840,8.16,559,754,13700,1120,0.768,9.52
244.5,16,90.2,115,15.3,7530,8.1,616,837,15100,1230,0.768,8.52
273,6.3,41.4,52.8,43.3,4700,9.43,344,448,9390,688,0.858,20.7
273,8,52.3,66.6,34.1,5850,9.37,429,562,11700,857,0.858,16.4
273,10,64.9,82.6,27.3,7150,9.31,524,692,14300,1050,0.858,13.2
273,12.5,80.3,102,21.8,8700,9.22,637,849,17400,1270,0.858,10.7
273,14.2,90.6,115,19.2,9700,9.16,710,952,19400,1420,0.858,9.46
273,16,101,129,17.1,10700,9.1,784,1060,21400,1570,0.858,8.46
323.9,6.3,49.3,62.9,51.4,7930,11.2,490,636,15900,979,1.02,20.6
323.9,8,62.3,79.4,40.5,9910,11.2,612,799,19800,1220,1.02,16.3
323.9,10,77.4,98.6,32.4,12200,11.1,751,986,24300,1500,1.02,13.1
323.9,12.5,96,122,25.9,14800,11,917,1210,29700,1830,1.02,10.6
323.9,14.2,108,138,22.8,16600,11,1030,1360,33200,2050,1.02,9.38
323.9,16,121,155,20.2,18400,10.9,1140,1520,36800,2270,1.02,8.38
355.6,14.2,120,152,25,22200,12.1,1250,1660,44500,2500,1.12,9.34
355.6,16,134,171,22.2,24700,12,1390,1850,49300,2770,1.12,8.34
406.4,6.3,62.2,79.2,64.5,15800,14.1,780,1010,31700,1560,1.28,20.5
406.4,8,78.6,100,50.8,19900,14.1,978,1270,39700,1960,1.28,16.2
406.4,10,97.8,125,40.6,24500,14,1210,1570,49000,2410,1.28,13.1
406.4,12.5,121,155,32.5,30000,13.9,1480,1940,60100,2960,1.28,10.5
406.4,14.2,137,175,28.6,33700,13.9,1660,2190,67400,3320,1.28,9.3
406.4,16,154,196,25.4,37400,13.8,1840,2440,74900,3690,1.28,8.29
457,8,88.6,113,57.1,28400,15.9,1250,1610,56900,2490,1.44,16.2
457,10,110,140,45.7,35100,15.8,1540,2000,70200,3070,1.44,13
457,12.5,137,175,36.6,43100,15.7,1890,2470,86300,3780,1.44,10.5
457,14.2,155,198,32.2,48500,15.7,2120,2790,96900,4240,1.44,9.26
457,16,174,222,28.6,54000,15.6,2360,3110,108000,4720,1.44,8.25
508,10,123,156,50.8,48500,17.6,1910,2480,97000,3820,1.6,13
508,12.5,153,195,40.6,59800,17.5,2350,3070,120000,4710,1.6,10.4
508,14.2,173,220,35.8,67200,17.5,2650,3460,134000,5290,1.6,9.23
508,16,194,247,31.8,74900,17.4,2950,3870,150000,5900,1.6,8.22
