350 x 350,8,85.4,109,40.8,21100,13.9,1210,1390,32400,1790,1.38,16.2
350 x 350,10,106,135,32,25900,13.9,1480,1720,39900,2190,1.37,13
350 x 350,12.5,131,167,25,31500,13.7,1800,2110,48900,2650,1.37,10.4
350 x 350,14.2,148,189,21.6,35200,13.7,2010,2360,54900,2960,1.36,9.21
350 x 350,16,166,211,18.9,38900,13.6,2230,2630,61000,3260,1.36,8.2
400 x 400,10,122,155,37,39100,15.9,1960,2260,60100,2900,1.57,12.9
400 x 400,12.5,151,192,29,47800,15.8,2390,2780,73900,3530,1.57,10.4
400 x 400,14.2,170,217,25.2,53500,15.7,2680,3130,83000,3940,1.56,9.18
400 x 400,16,191,243,22,59300,15.6,2970,3480,92400,4360,1.56,8.17
400 x 400,20,235,300,17,71500,15.4,3580,4250,112000,5240,1.55,6.58
