260 x 140,5,30.4,38.7,49,25,3530,1350,9.55,5.91,272,193,331,216,3080,326,0.787,25.9
260 x 140,6.3,38,48.4,38.3,19.2,4360,1660,9.49,5.86,335,237,411,267,3800,399,0.784,20.6
260 x 140,8,47.7,60.8,29.5,14.5,5370,2030,9.4,5.78,413,290,511,331,4700,488,0.779,16.3
260 x 140,10,58.8,74.9,23,11,6490,2430,9.31,5.7,499,347,624,402,5700,584,0.774,13.2
260 x 140,12.5,72.3,92.1,17.8,8.2,7770,2880,9.18,5.59,597,411,756,485,6840,690,0.768,10.6
260 x 140,14.2,81.1,103,15.3,6.86,8560,3140,9.1,5.52,658,449,840,537,7560,754,0.763,9.41
260 x 140,16,90.3,115,13.3,5.75,9340,3400,9.01,5.44,718,486,925,588,8260,815,0.759,8.41
300 x 100,8,47.7,60.8,34.5,9.5,6310,1080,10.2,4.21,420,216,546,245,3070,387,0.779,16.3
300 x 100,10,58.8,74.9,27,7,7610,1280,10.1,4.13,508,255,666,296,3680,458,0.774,13.2
300 x 100,14.2,81.1,103,18.1,4.04,10000,1610,9.85,3.94,669,321,896,390,4760,578,0.763,9.41
300 x 150,8,54,68.8,34.5,15.8,8010,2700,10.8,6.27,534,360,663,407,6450,613,0.879,16.3
300 x 150,10,66.7,84.9,27,12,9720,3250,10.7,6.18,648,433,811,496,7840,736,0.874,13.1
300 x 150,12.5,82.1,105,21,9,11700,3860,10.6,6.07,779,514,986,600,9450,874,0.868,10.6
300 x 150,14.2,92.3,118,18.1,7.56,12900,4230,10.5,6,862,564,1100,666,10500,959,0.863,9.35
300 x 150,16,103,131,15.8,6.38,14200,4600,10.4,5.92,944,613,1210,732,11500,1040,0.859,8.34
300 x 200,6.3,47.9,61,44.6,28.7,7830,4190,11.3,8.29,522,419,624,472,8480,681,0.984,20.5
300 x 200,8,60.3,76.8,34.5,22,9720,5180,11.3,8.22,648,518,779,589,10600,840,0.979,16.2
300 x 200,10,74.5,94.9,27,17,11800,6280,11.2,8.13,788,628,956,721,12900,1020,0.974,13.1
300 x 200,12.5,91.9,117,21,13,14300,7540,11,8.02,952,754,1170,877,15700,1220,0.968,10.5
300 x 200,14.2,103,132,18.1,11.1,15800,8330,11,7.95,1060,833,1300,978,17500,1340,0.963,9.35
300 x 200,16,115,147,15.8,9.5,17400,9110,10.9,7.87,1160,911,1440,1080,19300,1470,0.959,8.34
300 x 250,5,42.2,53.7,57,47,7410,5610,11.7,10.2,494,449,575,508,9770,697,1.09,25.8
300 x 250,6.3,52.8,67.3,44.6,36.7,9190,6950,11.7,10.2,613,556,716,633,12200,862,1.08,20.5
300 x 250,8,66.5,84.8,34.5,28.3,11400,8630,11.6,10.1,761,690,896,791,15200,1070,1.08,16.2
300 x 250,10,82.4,105,27,22,13900,10500,11.5,10,928,840,1100,971,18600,1300,1.07,13
300 x 250,12.5,102,130,21,17,16900,12700,11.4,9.89,1120,1010,1350,1190,22700,1560,1.07,10.5
300 x 250,14.2,115,146,18.1,14.6,18700,14100,11.3,9.82,1250,1130,1510,1330,25400,1730,1.06,9.22
300 x 250,16,128,163,15.8,12.6,20600,15500,11.2,9.74,1380,1240,1670,1470,28100,1900,1.06,8.28
350 x 150,5,38.3,48.7,67,27,7660,2050,12.5,6.49,437,274,543,301,5160,477,0.987,25.8
350 x 150,6.3,47.9,61,52.6,20.8,9480,2530,12.5,6.43,542,337,676,373,6390,586,0.984,20.5
350 x 150,8,60.3,76.8,40.8,15.8,11800,3110,12.4,6.36,673,414,844,464,7930,721,0.979,16.2
350 x 150,10,74.5,94.9,32,12,14300,3740,12.3,6.27,818,498,1040,566,9630,867,0.974,13.1
350 x 150,12.5,91.9,117,25,9,17300,4450,12.2,6.17,988,593,1260,686,11600,1030,0.968,10.5
350 x 150,14.2,103,132,21.6,7.56,19200,4890,12.1,6.09,1100,652,1410,763,12900,1130,0.963,9.35
350 x 150,16,115,147,18.9,6.38,21100,5320,12,6.01,1210,709,1560,840,14100,1230,0.959,8.34
350 x 250,5,46.1,58.7,67,47,10600,6360,13.5,10.4,607,509,716,569,12200,817,1.19,25.8
350 x 250,6.3,57.8,73.6,52.6,36.7,13200,7890,13.4,10.4,754,631,892,709,15200,1010,1.18,20.4
350 x 250,8,72.8,92.8,40.8,28.3,16400,9800,13.3,10.3,940,784,1120,888,19000,1250,1.18,16.2
350 x 250,10,90.2,115,32,22,20100,11900,13.2,10.2,1150,955,1380,1090,23400,1530,1.17,13
350 x 250,12.5,112,142,25,17,24400,14400,13.1,10.1,1400,1160,1690,1330,28500,1840,1.17,10.4
350 x 250,14.2,126,160,21.6,14.6,27200,16000,13,10,1550,1280,1890,1490,31900,2040,1.16,9.21
350 x 250,16,141,179,18.9,12.6,30000,17700,12.9,9.93,1720,1410,2100,1660,35300,2250,1.16,8.23
400 x 120,5,39.8,50.7,77,21,9520,1420,13.7,5.3,476,237,612,259,4090,430,1.03,25.9
400 x 120,6.3,49.9,63.5,60.5,16,11800,1740,13.6,5.24,590,291,762,320,5040,527,1.02,20.4
400 x 120,8,62.8,80,47,12,14600,2130,13.5,5.17,732,356,952,397,6220,645,1.02,16.2
400 x 120,10,77.7,98.9,37,9,17800,2550,13.4,5.08,891,425,1170,483,7510,771,1.01,13
400 x 120,12.5,95.8,122,29,6.6,21600,3010,13.3,4.97,1080,502,1430,583,8980,911,1.01,10.5
400 x 120,14.2,108,137,25.2,5.45,23900,3290,13.2,4.89,1200,549,1590,646,9890,996,1,9.26
400 x 120,16,120,153,22,4.5,26300,3560,13.1,4.82,1320,593,1760,709,10800,1080,0.999,8.33
400 x 150,5,42.2,53.7,77,27,10700,2320,14.1,6.57,534,309,671,337,6130,547,1.09,25.8
400 x 150,6.3,52.8,67.3,60.5,20.8,13300,2850,14,6.51,663,380,836,418,7600,673,1.08,20.5
400 x 150,8,66.5,84.8,47,15.8,16500,3510,13.9,6.43,824,468,1050,521,9420,828,1.08,16.2
400 x 150,10,82.4,105,37,12,20100,4230,13.8,6.35,1010,564,1290,636,11500,998,1.07,13
400 x 150,12.5,102,130,29,9,24400,5040,13.7,6.24,1220,672,1570,772,13800,1190,1.07,10.5
400 x 150,14.2,115,146,25.2,7.56,27100,5550,13.6,6.16,1360,740,1760,859,15300,1310,1.06,9.22
400 x 150,16,128,163,22,6.38,29800,6040,13.5,6.09,1490,805,1950,947,16800,1430,1.06,8.28
400 x 200,8,72.8,92.8,47,22,19600,6660,14.5,8.47,978,666,1200,743,15700,1140,1.18,16.2
400 x 200,10,90.2,115,37,17,23900,8080,14.4,8.39,1200,808,1480,911,19300,1380,1.17,13
400 x 200,12.5,112,142,29,13,29100,9740,14.3,8.28,1450,974,1810,1110,23400,1660,1.17,10.4
400 x 200,14.2,126,160,25.2,11.1,32400,10800,14.2,8.21,1620,1080,2030,1240,26100,1830,1.16,9.21
400 x 200,16,141,179,22,9.5,35700,11800,14.1,8.13,1790,1180,2260,1370,28900,2010,1.16,8.23
400 x 300,8,85.4,109,47,34.5,25700,16500,15.4,12.3,1290,1100,1520,1250,31000,1750,1.38,16.2
400 x 300,10,106,135,37,27,31500,20200,15.3,12.2,1580,1350,1870,1540,38200,2140,1.37,12.9
400 x 300,12.5,131,167,29,21,38500,24600,15.2,12.1,1920,1640,2300,1880,46800,2590,1.37,10.5
400 x 300,14.2,148,189,25.2,18.1,43000,27400,15.1,12.1,2150,1830,2580,2110,52500,2890,1.36,9.19
400 x 300,16,166,211,22,15.8,47500,30300,15,12,2380,2020,2870,2350,58300,3180,1.36,8.19
450 x 250,8,85.4,109,53.3,28.3,30100,12100,16.6,10.6,1340,971,1620,1080,27100,1630,1.38,16.2
450 x 250,10,106,135,42,22,36900,14800,16.5,10.5,1640,1190,2000,1330,33300,1990,1.37,12.9
450 x 250,12.5,131,167,33,17,45000,18000,16.4,10.4,2000,1440,2460,1630,40700,2410,1.37,10.5
450 x 250,14.2,148,189,28.7,14.6,50300,20000,16.3,10.3,2240,1600,2760,1830,45600,2680,1.36,9.19
450 x 250,16,166,211,25.1,12.6,55700,22000,16.2,10.2,2480,1760,3070,2030,50500,2950,1.36,8.19
500 x 200,8,85.4,109,59.5,22,34000,8140,17.7,8.65,1360,814,1710,896,21100,1430,1.38,16.2
500 x 200,10,106,135,47,17,41800,9890,17.6,8.56,1670,989,2110,1100,25900,1740,1.37,12.9
500 x 200,12.5,131,167,37,13,51000,11900,17.5,8.45,2040,1190,2590,1350,31500,2100,1.37,10.5
500 x 200,14.2,148,189,32.2,11.1,56900,13200,17.4,8.38,2280,1320,2900,1510,35200,2320,1.36,9.19
500 x 200,16,166,211,28.3,9.5,63000,14500,17.3,8.3,2520,1450,3230,1670,38900,2550,1.36,8.19
500 x 300,8,97.9,125,59.5,34.5,43700,20000,18.7,12.6,1750,1330,2100,1480,42600,2200,1.58,16.1
500 x 300,10,122,155,47,27,53800,24400,18.6,12.6,2150,1630,2600,1830,52500,2700,1.57,12.9
500 x 300,12.5,151,192,37,21,65800,29800,18.5,12.5,2630,1990,3200,2240,64400,3280,1.57,10.4
500 x 300,14.2,170,217,32.2,18.1,73700,33200,18.4,12.4,2950,2220,3590,2520,72200,3660,1.56,9.18
500 x 300,16,191,243,28.3,15.8,81800,36800,18.3,12.3,3270,2450,4010,2800,80300,4040,1.56,8.17
500 x 300,20,235,300,22,12,98800,44100,18.2,12.1,3950,2940,4890,3410,97400,4840,1.55,6.58
